SRC_AREA    SRC_NWSE    TARGET_ARE  ENTRY_NAME  TRV_TIME    DEF_ENTRY   ENC1        ENC2        ENC3        ENC4        ENC5        ENC_PROB
BG3800      E           BG3900      N           3           8           BG5600      N           N           N           N           10
BG3800      S           BG4300      Exit3800    1           1           BG6100      N           N           N           N           10
BG3800      W           BG3700      N           6           2           BG5900      BG5700      N           N           N           20

BG3400      N           BG2900      N           4           4           BG5900      N           N           N           N           20
BG3400      E           BG3500      N           3           8           BG5600      N           N           N           N           20
BG3400      S           BG3900      Exit3400    2           1           BG5600      N           N           N           N           20
BG3400      W           BG3300      CDEastExit  0           2           N           N           N           N           N           0

BG4000      N           BG3500      N           2           4           BG5600      N           N           N           N           20
BG4000      S           BG4500      N           2           1           BG5600      N           N           N           N           20
BG4000      W           BG3900      N           2           2           BG5600      N           N           N           N           20

BG3600      N           BG3100      CDSouthExit 3           4           BG5800      N           N           N           N           20
BG3600      E           BG3700      N           4           8           BG5900      BG5700      N           N           N           20
BG3600      S           BG4100      N           3           1           BG5801      BG5801      N           N           N           20

BG4200      N           BG3700      N           2           4           BG5700      N           N           N           N           20
BG4200      E           BG4300      N           3           8           BG5700      N           N           N           N           20
BG4200      S           BG4700      N           3           2           BG5700      N           N           N           N           50
BG4200      W           BG4100      N           4           2           BG5700      N           N           N           N           20
BG4200      W           BG4700      N           3           1           BG5700      N           N           N           N           50

BG4300      N           BG3800      Exit4300    1           2           BG6100      N           N           N           N           15
BG4300      E           BG4400      N           1           8           BG5700      N           N           N           N           20
BG4300      E           BG0500      Exit0400    3           8           N           N           N           N           N           5
BG4300      S           BG4800      Exit4300    2           1           N           N           N           N           N           0
BG4300      S           BG4900      N           2           1           N           N           N           N           N           0
BG4300      W           BG4200      N           3           2           BG5700      N           N           N           N           5

BG4400      N           BG3900      N           2           4           BG5600      N           N           N           N           20
BG4400      E           BG4500      N           4           8           BG5600      N           N           N           N           20
BG4400      S           BG4900      N           2           1           BG5900      N           N           N           N           20
BG4400      S           BG0500      Exit0400    3           1           N           N           N           N           N           5
BG4400      W           BG4300      N           2           2           BG5900      N           N           N           N           20

BG4500      N           BG4000      N           2           4           BG5600      N           N           N           N           20
BG4500      S           BG5000      N           3           1           BG5600      N           N           N           N           20
BG4500      S           BG0500      Exit0400    2           1           N           N           N           N           N           3
BG4500      W           BG4400      N           4           2           BG5600      N           N           N           N           20

BG4100      N           BG3600      N           2           4           BG5801      N           N           N           N           20
BG4100      E           BG4200      N           4           8           BG5700      N           N           N           N           20
BG4100      E           BG4700      N           4           1           BG5700      N           N           N           N           20
BG4100      S           BG3700      N           3           8           BG5700      N           N           N           N           20

BG4700      N           BG4100      N           3           4           BG5700      N           N           N           N           30
BG4700      N           BG4200      N           3           4           BG5700      N           N           N           N           20
BG4700      E           BG4800      N           5           8           BG5701      N           N           N           N           30
BG4700      S           BG5200      N           6           1           BG5701      N           N           N           N           20
BG4700      W           BG4600      N           4           2           BG5701      N           N           N           N           30

BG5200      N           BG4700      N           6           4           BG5701      N           N           N           N           20
BG5200      E           BG5300      N           4           8           BG5701      N           N           N           N           30
BG5200      S           BG5300      N           4           8           BG5701      N           N           N           N           30
BG5200      W           BG5100      Exit5200    6           2           BG5701      N           N           N           N           30

BG4800      N           BG4300      EXIT4800    1           4           N           N           N           N           N           0
BG4800      E           BG4900      N           0           8           N           N           N           N           N           0
BG4800      E           BG5400      N           1           1           BG5701      N           N           N           N           25
BG4800      S           BG5300      N           3           1           BG5700      N           N           N           N           20
BG4800      S           BG5400      N           1           1           OH1000      N           N           N           N           20
BG4800      W           BG4700      N           1           2           BG5701      N           N           N           N           50

BG4900      N           BG4300      EXIT4800    1           4           N           N           N           N           N           0
BG4900      N           BG4400      N           2           4           BG5700      N           N           N           N           20
BG4900      N           BG0500      Exit0400    3           4           N           N           N           N           N           5
BG4900      E           BG5000      N           4           8           BG5700      N           N           N           N           20
BG4900      E           BG5400      N           1           1           BG5701      N           N           N           N           25
BG4900      E           BG0500      Exit0400    1           4           N           N           N           N           N           5
BG4900      S           BG5400      N           2           1           OH1000      N           N           N           N           20
BG4900      W           BG4800      N           0           2           N           N           N           N           N           0

BG5000      N           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
BG5000      N           BG4500      N           3           4           BG5600      N           N           N           N           20
BG5000      N           BG0500      Exit0400    2           1           N           N           N           N           N           5
BG5000      E           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
BG5000      S           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
BG5000      S           BG5500      N           3           1           BG5700      N           N           N           N           20
BG5000      W           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
BG5000      W           BG4900      N           4           2           BG5900      N           N           N           N           20
BG5000      W           BG0500      Exit0400    1           1           N           N           N           N           N           5

BG3900      N           BG3400      N           2           4           BG5600      BG5900      N           N           N           20
BG3900      E           BG4000      N           2           8           BG5600      BG5900      N           N           N           20
BG3900      S           BG4400      N           2           1           BG5600      N           N           N           N           20
BG3900      W           BG3800      N           2           2           BG5600      N           N           N           N           20

BG4600      E           BG4700      N           3           8           BG5701      N           N           N           N           30
BG4600      S           BG5100      Exit5200    1           1           BG5700      N           N           N           N           50

BG5100      N           BG4600      N           1           4           BG5701      N           N           N           N           15
BG5100      E           BG5200      Exit5100    6           8           BG5701      N           N           N           N           30

BG5300      N           BG4800      N           3           4           BG5700      N           N           N           N           20
BG5300      E           BG5400      N           4           8           OH1000      N           N           N           N           30
BG5300      W           BG5200      N           4           2           BG5701      N           N           N           N           20

BG5400      N           BG4900      N           2           4           BG5900      N           N           N           N           20
BG5400      E           BG5500      N           3           8           BG5700      N           N           N           N           20
BG5400      S           OH3000      ENTRANCE    2           5           N           N           N           N           N           0
BG5400      W           BG5300      N           4           2           BG5700      N           N           N           N           20

BG5500      N           BG5000      N           3           4           BG5700      N           N           N           N           20
BG5500      W           BG5400      N           3           2           OH1000      N           N           N           N           20

BG1000      E           BG0900      Exit0400    4           1           N           N           N           N           N           5

BG0500      N           BG4500      N           3           4           N           N           N           N           N           5
BG0500      S           BG4900      N           2           1           N           N           N           N           N           5
BG0500      W           BG4400      N           4           2           N           N           N           N           N           5

// BG1:EE
OH2000      N           BG5000      ExitOH1000  1           1           N           N           N           N           N           0
OH2000      E           BG5000      ExitOH1000  1           1           N           N           N           N           N           0
OH2000      S           BG5000      ExitOH1000  1           1           N           N           N           N           N           0
OH2000      W           BG5000      ExitOH1000  1           1           N           N           N           N           N           0

OH3000      N           BG5400      N           8           4           N           N           N           N           N           0

oh1000      N           BG5400      N           0           1           N           N           N           N           N           0
oh1000      E           BG5400      N           0           1           N           N           N           N           N           0
oh1000      S           BG5400      N           0           1           N           N           N           N           N           0
oh1000      W           BG5400      N           0           1           N           N           N           N           N           0

// EET
BG0000      E           BG5400      N           1           1           N           N           N           N           N           0
BG5400      W           BG0000      N           1           1           N           N           N           N           N           0
BG0000      N           AR0020      ExitNE      18          1           N           N           N           N           N           0
AR0020      N           BG0000      N           18          1           N           N           N           N           N           0
